A_x,A_y,A_z,G_x,G_y,G_z,State,A_vec,G_vec
0.240234375,-1.013671875,0.152587891,-7.850646973,-2.662658691,-0.633239746,0,1.052865751,8.314048459
0.234863281,-0.966308594,0.124267578,-6.828308105,-0.160217285,-1.625061035,0,1.002175379,7.020846425
0.234863281,-0.966308594,0.124267578,-6.828308105,-0.160217285,-1.625061035,0,1.002175379,7.020846425
0.234863281,-0.966308594,0.124267578,-6.828308105,-0.160217285,-1.625061035,0,1.002175379,7.020846425
0.234863281,-0.966308594,0.124267578,-6.828308105,-0.160217285,-1.625061035,0,1.002175379,7.020846425
0.234863281,-0.966308594,0.124267578,-6.828308105,-0.160217285,-1.625061035,0,1.002175379,7.020846425
0.227294922,-1.009033203,0.175048828,-5.897521973,-0.137329102,-6.790161133,0,1.049024823,8.994771421
0.227294922,-1.009033203,0.175048828,-5.897521973,-0.137329102,-6.790161133,0,1.049024823,8.994771421
0.227294922,-1.009033203,0.175048828,-5.897521973,-0.137329102,-6.790161133,0,1.049024823,8.994771421
0.227294922,-1.009033203,0.175048828,-5.897521973,-0.137329102,-6.790161133,0,1.049024823,8.994771421
0.260253906,-0.936279297,0.170410156,3.082275391,-0.671386719,2.494812012,0,0.986605615,4.021848914
0.260253906,-0.936279297,0.170410156,3.082275391,-0.671386719,2.494812012,0,0.986605615,4.021848914
0.260253906,-0.936279297,0.170410156,3.082275391,-0.671386719,2.494812012,0,0.986605615,4.021848914
0.260253906,-0.936279297,0.170410156,3.082275391,-0.671386719,2.494812012,0,0.986605615,4.021848914
0.110595703,-0.90234375,0.184082031,-7.621765137,4.890441895,16.31164551,0,0.927546143,18.65683534
0.110595703,-0.90234375,0.184082031,-7.621765137,4.890441895,16.31164551,0,0.927546143,18.65683534
0.110595703,-0.90234375,0.184082031,-7.621765137,4.890441895,16.31164551,0,0.927546143,18.65683534
0.110595703,-0.90234375,0.184082031,-7.621765137,4.890441895,16.31164551,0,0.927546143,18.65683534
0.192871094,-0.885009766,0.061035156,16.38031006,-25.87890625,-20.14160156,0,0.907836348,36.65673826
0.192871094,-0.885009766,0.061035156,16.38031006,-25.87890625,-20.14160156,0,0.907836348,36.65673826
0.192871094,-0.885009766,0.061035156,16.38031006,-25.87890625,-20.14160156,0,0.907836348,36.65673826
0.192871094,-0.885009766,0.061035156,16.38031006,-25.87890625,-20.14160156,0,0.907836348,36.65673826
0.192871094,-0.885009766,0.061035156,16.38031006,-25.87890625,-20.14160156,0,0.907836348,36.65673826
0.300048828,-0.971679688,0.345703125,-71.68579102,-5.37109375,7.843017578,0,1.074104913,72.31330587
0.300048828,-0.971679688,0.345703125,-71.68579102,-5.37109375,7.843017578,0,1.074104913,72.31330587
0.300048828,-0.971679688,0.345703125,-71.68579102,-5.37109375,7.843017578,0,1.074104913,72.31330587
0.300048828,-0.971679688,0.345703125,-71.68579102,-5.37109375,7.843017578,0,1.074104913,72.31330587
0.122802734,-0.917724609,0.215820313,19.54650879,-20.88928223,-4.859924316,0,0.950724659,29.0180458
0.122802734,-0.917724609,0.215820313,19.54650879,-20.88928223,-4.859924316,0,0.950724659,29.0180458
0.122802734,-0.917724609,0.215820313,19.54650879,-20.88928223,-4.859924316,0,0.950724659,29.0180458
0.122802734,-0.917724609,0.215820313,19.54650879,-20.88928223,-4.859924316,0,0.950724659,29.0180458
0.249267578,-1.098876953,0.168457031,-11.58905029,-17.35687256,-7.751464844,0,1.139316749,22.26325041
0.249267578,-1.098876953,0.168457031,-11.58905029,-17.35687256,-7.751464844,0,1.139316749,22.26325041
0.249267578,-1.098876953,0.168457031,-11.58905029,-17.35687256,-7.751464844,0,1.139316749,22.26325041
0.249267578,-1.098876953,0.168457031,-11.58905029,-17.35687256,-7.751464844,0,1.139316749,22.26325041
0.249267578,-1.098876953,0.168457031,-11.58905029,-17.35687256,-7.751464844,0,1.139316749,22.26325041
0.260009766,-1.111816406,0.240234375,-53.40576172,25.02441406,14.02282715,0,1.166813333,60.6220782
0.260009766,-1.111816406,0.240234375,-53.40576172,25.02441406,14.02282715,0,1.166813333,60.6220782
0.260009766,-1.111816406,0.240234375,-53.40576172,25.02441406,14.02282715,0,1.166813333,60.6220782
0.260009766,-1.111816406,0.240234375,-53.40576172,25.02441406,14.02282715,0,1.166813333,60.6220782
0.065429688,-1.002685547,0.227539063,30.80749512,2.410888672,9.864807129,0,1.030258887,32.43807268
0.065429688,-1.002685547,0.227539063,30.80749512,2.410888672,9.864807129,0,1.030258887,32.43807268
0.065429688,-1.002685547,0.227539063,30.80749512,2.410888672,9.864807129,0,1.030258887,32.43807268
0.065429688,-1.002685547,0.227539063,30.80749512,2.410888672,9.864807129,0,1.030258887,32.43807268
0.065429688,-1.002685547,0.227539063,30.80749512,2.410888672,9.864807129,0,1.030258887,32.43807268
0.166015625,-0.901855469,0.141845703,12.87078857,10.33782959,-6.141662598,0,0.927914154,17.61385644
0.166015625,-0.901855469,0.141845703,12.87078857,10.33782959,-6.141662598,0,0.927914154,17.61385644
0.166015625,-0.901855469,0.141845703,12.87078857,10.33782959,-6.141662598,0,0.927914154,17.61385644
0.166015625,-0.901855469,0.141845703,12.87078857,10.33782959,-6.141662598,0,0.927914154,17.61385644
